Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C0603",141.410000,-101.855000,90.000000,top
"C2","22pF","C0603",142.495000,-105.030000,90.000000,top
"C3","100nF","C0603",154.280000,-97.300000,-90.000000,top
"C4","100nF","C0603",142.820000,-123.055000,90.000000,top
"C5","22uF","CAP-SMD_BD4.0-L4.3-W4.3-LS5.1-FD",147.170000,-121.930000,0.000000,top
"C6","100nF","C0603",163.300000,-102.235000,-90.000000,top
"C7","100nF","C0603",161.380000,-99.785000,-90.000000,top
"C8","47uF","C0603",116.440000,-118.500000,0.000000,top
"C9","430pF","C0402",117.570000,-111.920000,-90.000000,top
"C10","10uF","C1206",112.440000,-114.500000,-90.000000,top
"C11","100nF","C0603",130.575000,-101.125000,90.000000,top
"C14","1uF","C0805",166.475000,-117.325000,0.000000,top
"C15","1uF","C0805",168.925000,-112.100000,0.000000,top
"C16","1uF","C0805",156.970000,-109.460000,90.000000,top
"CN1","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",115.000000,-93.687500,180.000000,top
"CN2","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",122.142857,-93.687500,180.000000,top
"CN3","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",129.285714,-93.687500,180.000000,top
"CN4","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",136.428571,-93.687500,180.000000,top
"CN5","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",143.571429,-93.687500,180.000000,top
"CN6","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",150.714286,-93.687500,180.000000,top
"CN7","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",157.857143,-93.687500,180.000000,top
"CN8","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",165.000000,-93.687500,180.000000,top
"CN10","SM04B-SRSS-TB (LF)(SN)","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",108.550000,-99.075000,-90.000000,top
"CN11","SM02B-PASS-1-TBT(LF)(SN)","CONN-SMD_SM02B-PASS-1-TBT-LF-SN",111.500000,-107.255348,90.000000,top
"D1","B340A-13-F","SMA_L4.4-W2.6-LS5.0-RD",165.450000,-112.125000,90.000000,top
"H1","1x6","HDR-TH_6P-P2.54-V-M-1",161.110000,-123.010000,180.000000,top
"Q1","BC817-25Q-7-F","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",156.575000,-117.575000,90.000000,top
"Q2","BC817-25Q-7-F","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",159.975000,-117.575000,90.000000,top
"R1","4.7k","R0603",115.750000,-97.627500,180.000000,top
"R2","4.7k","R0603",122.892857,-97.627500,180.000000,top
"R3","4.7k","R0603",130.035714,-97.627500,180.000000,top
"R4","4.7k","R0603",137.178571,-97.627500,180.000000,top
"R5","4.7k","R0603",144.321429,-97.627500,180.000000,top
"R6","4.7k","R0603",151.464286,-97.627500,180.000000,top
"R7","4.7k","R0603",158.607143,-97.627500,180.000000,top
"R8","4.7k","R0603",165.750000,-97.627500,180.000000,top
"R9","100k","R0402",144.945000,-102.175000,90.000000,top
"R10","100k","R0402",154.270000,-100.030000,90.000000,top
"R11","100k","R0402",155.570000,-100.655000,90.000000,top
"R12","10k","R0603",153.120000,-120.930000,180.000000,top
"R13","10k","R0603",154.330000,-110.340000,180.000000,top
"R14","5.1k","R0603",162.850000,-107.110000,90.000000,top
"R15","5.1k","R0603",164.350000,-107.110000,90.000000,top
"R16","10k","R0603",158.275000,-114.875000,180.000000,top
"R17","10k","R0603",159.025000,-113.175000,0.000000,top
"R18","100k","R0402",120.940000,-115.570000,-90.000000,top
"R19","100k","R0402",119.440000,-113.000000,-90.000000,top
"R20","309k","R0402",119.440000,-115.254249,-90.000000,top
"R21","10","R0603",120.200000,-102.965348,0.000000,top
"R24","0","R1206",116.790000,-120.770000,180.000000,top
"R26","0","R1206",162.700000,-114.125000,90.000000,top
"SW1","KH-6X6X5H-STM","SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_H5.0",148.500000,-116.370000,180.000000,top
"SW2","KH-6X6X5H-STM","SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_H5.0",148.500000,-109.780000,180.000000,top
"U1","MCP2515-I/ST","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",149.645000,-102.730000,-90.000000,top
"U2","SN65HVD230D","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",125.700000,-101.055348,90.000000,top
"U4","ESP32-S3-WROOM-1(N8R2)","WIRELM-SMD_ESP32-S3-WROOM-1",131.770000,-114.767500,180.000000,top
"U5","YTC-TC16S-24","USB-C-SMD_YTC-TC16S-24",169.650000,-104.585000,90.000000,top
"U6","CP2102N-A02-GQFN28R","QFN-28_L5.0-W5.0-P0.50-TL-EP3.3",159.000000,-104.335000,180.000000,top
"U7","TPS82130SILR","USIP-8_L3.0-W2.8-P0.65-TL-EP",116.440000,-114.500000,0.000000,top
"U9","H7651-33PR","SOT-89-3_L4.5-W2.5-P1.50-LS4.1-BR",171.225000,-115.850000,180.000000,top
"X2","10MHz","CRYSTAL-SMD_4P-L3.2-W2.5-BL",138.395000,-102.455000,90.000000,top
