"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C5";"CAP-SMD_BD4.0-L4.3-W4.3-LS5.1-FD";1;"22uF";;;
2;"C16,C15,C14";"C0805";3;"1uF";;;
3;"CN2,CN7,CN5,CN1,CN6,CN3,CN4,CN8";"CONN-SMD_SM03B-SRSS-TB-LF-SN-P";8;"SM03B-SRSS-TB(LF)(SN)(P)";;;
4;"C7,C4,C11,C3,C6";"C0603";5;"100nF";;;
5;"U1";"TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL";1;"MCP2515-I/ST";;;
6;"R14,R15";"R0603";2;"5.1k";;;
7;"CN11";"CONN-SMD_SM02B-PASS-1-TBT-LF-SN";1;"SM02B-PASS-1-TBT(LF)(SN)";;;
8;"R2,R4,R7,R5,R1,R3,R8,R6";"R0603";8;"4.7k";;;
9;"C8";"C0603";1;"47uF";;;
10;"R17,R12,R16,R13";"R0603";4;"10k";;;
11;"U7";"USIP-8_L3.0-W2.8-P0.65-TL-EP";1;"TPS82130SILR";;;
12;"C9";"C0402";1;"430pF";;;
13;"X2";"CRYSTAL-SMD_4P-L3.2-W2.5-BL";1;"10MHz";;;
14;"CN10";"CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN";1;"SM04B-SRSS-TB (LF)(SN)";;;
15;"D1";"SMA_L4.4-W2.6-LS5.0-RD";1;"B340A-13-F";;;
16;"R21";"R0603";1;"10";;;
17;"U6";"QFN-28_L5.0-W5.0-P0.50-TL-EP3.3";1;"CP2102N-A02-GQFN28R";;;
18;"H1";"HDR-TH_6P-P2.54-V-M-1";1;"1x6";;;
19;"R10,R9,R19,R11,R18";"R0402";5;"100k";;;
20;"C2,C1";"C0603";2;"22pF";;;
21;"U5";"USB-C-SMD_YTC-TC16S-24";1;"YTC-TC16S-24";;;
22;"R26,R24";"R1206";2;"0";;;
23;"SW2,SW1";"SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_H5.0";2;"KH-6X6X5H-STM";;;
24;"U2";"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL";1;"SN65HVD230D";;;
25;"U9";"SOT-89-3_L4.5-W2.5-P1.50-LS4.1-BR";1;"H7651-33PR";;;
26;"Q2,Q1";"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR";2;"BC817-25Q-7-F";;;
27;"U4";"WIRELM-SMD_ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1(N8R2)";;;
28;"C10";"C1206";1;"10uF";;;
29;"R20";"R0402";1;"309k";;;
